source,target
12097244,13886297
12097244,13911686
12097244,13912008
12097244,13912866
12097244,13961465
12097244,15066663
12097244,15108599
12097244,15145874
12097244,15208289
12097244,15393805
12097244,15394603
12097244,15417421
12097244,15458568
12097244,15533729
12097244,15545880
12097244,15583445
12097244,15583631
12097244,15624992
12097244,9102775
12149481,12149789
12149481,12159845
12149481,12290248
12149481,12301487
12149481,13372650
12149481,13730932
12149481,13759894
12149481,13760826
12149481,13772089
12149481,13783640
12149481,13783843
12149481,13794057
12149481,13794457
12149481,13806133
12149481,13836647
12149481,13886297
12149481,13911686
12149481,13912008
12149481,13912866
12149481,13961465
12149481,15066663
12149481,15108599
12149481,15145874
12149481,15208289
12149481,15393805
12149481,15394603
12149481,15417421
12149481,15458568
12149481,15533729
12149481,15545880
12149481,15583445
12149481,15583631
12149481,15624992
12149481,9102775
12149789,12159845
12149789,12290248
12149789,12301487
12149789,13372650
12149789,13730932
12149789,13759894
12149789,13760826
12149789,13772089
12149789,13783640
12149789,13783843
12149789,13794057
12149789,13794457
12149789,13806133
12149789,13836647
12149789,13886297
12149789,13911686
12149789,13912008
12149789,13912866
12149789,13961465
12149789,15066663
12149789,15108599
12149789,15145874
12149789,15208289
12149789,15393805
12149789,15394603
12149789,15417421
12149789,15458568
12149789,15533729
12149789,15545880
12149789,15583445
12149789,15583631
12149789,15624992
12149789,9102775
12159845,12290248
12159845,12301487
12159845,13372650
12159845,13730932
12159845,13759894
12159845,13760826
12159845,13772089
12159845,13783640
12159845,13783843
12159845,13794057
12159845,13794457
12159845,13806133
12159845,13836647
12159845,13886297
12159845,13911686
12159845,13912008
12159845,13912866
12159845,13961465
12159845,15066663
12159845,15108599
12159845,15145874
12159845,15208289
12159845,15393805
12159845,15394603
12159845,15417421
12159845,15458568
12159845,15533729
12159845,15545880
12159845,15583445
12159845,15583631
12159845,15624992
12159845,9102775
1223978,10486406
1223978,10560981
1223978,10591229
1223978,10592433
1223978,10633779
1223978,10715025
1223978,10872085
1223978,11901354
1223978,11905998
1223978,11912689
1223978,11955077
1223978,11955118
1223978,12077872
1223978,12097244
1223978,12149481
1223978,12149789
1223978,12159845
1223978,12290248
1223978,12301487
1223978,1284421
1223978,13372650
1223978,13730932
1223978,13759894
1223978,13760826
1223978,13772089
1223978,13783640
1223978,13783843
1223978,13794057
1223978,13794457
1223978,13806133
1223978,13836647
1223978,13886297
1223978,13911686
1223978,13912008
1223978,13912866
1223978,13961465
1223978,14054103
1223978,15066663
1223978,15108599
1223978,15145874
1223978,15208289
1223978,15393805
1223978,15394603
1223978,15417421
1223978,15458568
1223978,15533729
1223978,15545880
1223978,15583445
1223978,15583631
1223978,15624992
1223978,15882889
1223978,2184122
1223978,2227803
1223978,2369881
1223978,2380718
1223978,2457481
1223978,2505604
1223978,2562238
1223978,2565041
1223978,2571779
1223978,2611264
1223978,2650532
1223978,3643305
1223978,3704508
1223978,3991079
1223978,399136
1223978,3991469
1223978,3992451
1223978,4031613
1223978,4055167
1223978,4066976
1223978,4156395
1223978,4194030
1223978,4194673
1223978,4204550
1223978,4508954
